HMDB$KEGGCompound
HMDB00014$C00881
HMDB00017$C00847
HMDB00019$C00141
HMDB00020$C00642
HMDB00026$C02642
HMDB00030$C00120
HMDB00034$C00147
HMDB00036$
HMDB00039$C00246
HMDB00043$C00719
HMDB00044$
HMDB00050$C00212
HMDB00054$C00486
HMDB00056$C00099
HMDB00062$C15025
HMDB00063$
HMDB00064$C00300
HMDB00067$
HMDB00086$
HMDB00089$C00475
HMDB00092$C01026
HMDB00094$C00158
HMDB00097$C00114
HMDB00098$C00181
HMDB00101$C00559
HMDB00118$C05582
HMDB00122$C00031
HMDB00123$C00037
HMDB00124$
HMDB00126$C00093
HMDB00128$C00581
HMDB00132$C00242
HMDB00133$C00387
HMDB00134$C00122
HMDB00138$
HMDB00139$C00258
HMDB00148$C00025
HMDB00152$C00628
HMDB00156$C00149
HMDB00157$C00262
HMDB00158$C00082
HMDB00159$C00079
HMDB00161$C00041
HMDB00162$C00148
HMDB00167$C00188
HMDB00168$C00152
HMDB00172$C00407
HMDB00174$C01019
HMDB00177$C00135
HMDB00182$C00047
HMDB00186$
HMDB00187$C00065
HMDB00190$C00186
HMDB00191$C00049
HMDB00192$C00491
HMDB00194$C01262
HMDB00195$C00294
HMDB00197$C00954
HMDB00201$
HMDB00206$C02727
HMDB00207$C00712
HMDB00209$C07086
HMDB00210$
HMDB00212$
HMDB00214$C00077
HMDB00216$C00547
HMDB00220$C00249
HMDB00222$C02990
HMDB00226$C00295
HMDB00237$C00163
HMDB00239$C00314
HMDB00244$C00255
HMDB00245$C00931
HMDB00247$C00794
HMDB00251$C00245
HMDB00252$
HMDB00254$C00042
HMDB00259$C00780
HMDB00262$C00178
HMDB00269$C00836
HMDB00288$C00105
HMDB00289$C00366
HMDB00292$C00385
HMDB00296$C00299
HMDB00300$C00106
HMDB00317$
HMDB00355$C03761
HMDB00365$
HMDB00391$
HMDB00407$
HMDB00448$C06104
HMDB00452$C02356
HMDB00472$C01017
HMDB00479$C01152
HMDB00482$C06423
HMDB00506$
HMDB00510$
HMDB00511$C01571
HMDB00517$C00062
HMDB00518$C02528
HMDB00522$
HMDB00529$
HMDB00535$C01585
HMDB00555$
HMDB00557$
HMDB00562$C00791
HMDB00610$C15441
HMDB00613$
HMDB00619$C00695
HMDB00623$C02678
HMDB00626$C04483
HMDB00630$C00380
HMDB00631$
HMDB00637$
HMDB00638$C02679
HMDB00641$C00064
HMDB00651$
HMDB00658$
HMDB00666$C17714
HMDB00670$C01924
HMDB00672$C19615
HMDB00673$C01595
HMDB00679$C02427
HMDB00682$
HMDB00687$C00123
HMDB00688$
HMDB00691$C00383
HMDB00696$C00073
HMDB00698$C15557
HMDB00699$C02918
HMDB00703$C01984
HMDB00708$
HMDB00711$
HMDB00714$C01586
HMDB00715$C01717
HMDB00716$C00408
HMDB00722$
HMDB00725$C01157
HMDB00733$
HMDB00761$
HMDB00764$C05629
HMDB00766$
HMDB00767$C02067
HMDB00772$C16535
HMDB00779$
HMDB00784$C08261
HMDB00786$C07599
HMDB00791$C02838
HMDB00792$C08277
HMDB00801$C01607
HMDB00802$C00715
HMDB00806$C06424
HMDB00812$C01042
HMDB00824$C03017
HMDB00826$C16537
HMDB00827$C01530
HMDB00848$
HMDB00866$
HMDB00870$C00388
HMDB00872$
HMDB00873$C06730
HMDB00874$
HMDB00875$C01004
HMDB00881$C02470
HMDB00883$C00183
HMDB00884$
HMDB00885$C11251
HMDB00888$
HMDB00892$C00803
HMDB00893$C08278
HMDB00895$C01996
HMDB00896$
HMDB00897$C02242
HMDB00898$C05127
HMDB00904$C00327
HMDB00918$C14641
HMDB00925$C01104
HMDB00929$C00078
HMDB00932$
HMDB00951$C05465
HMDB00956$C00898
HMDB00957$C00090
HMDB01008$
HMDB01043$C00219
HMDB01046$
HMDB01138$
HMDB01149$C00430
HMDB01161$C01181
HMDB01169$C02372
HMDB01185$
HMDB01186$C02567
HMDB01202$C00239
HMDB01227$C00364
HMDB01232$C00870
HMDB01257$C00315
HMDB01276$C00612
HMDB01325$C03793
HMDB01348$
HMDB01370$C00666
HMDB01388$C06427
HMDB01390$
HMDB01406$C00153
HMDB01414$C00134
HMDB01432$C00179
HMDB01488$C00253
HMDB01518$
HMDB01539$C03626
HMDB01547$C02140
HMDB01563$
HMDB01847$C07481
HMDB01859$C06804
HMDB01886$C16357
HMDB01889$C07130
HMDB01895$C00805
HMDB01906$C03665
HMDB01921$C07151
HMDB01924$D00235
HMDB01928$C07041
HMDB01933$C07017
HMDB01954$
HMDB01976$
HMDB01991$C16353
HMDB01999$C06428
HMDB02000$C08322
HMDB02005$
HMDB02013$C02862
HMDB02014$
HMDB02024$C02835
HMDB02064$C02714
HMDB02068$C08316
HMDB02100$C16512
HMDB02121$C09069
HMDB02123$C16361
HMDB02172$C03413
HMDB02183$C06429
HMDB02203$
HMDB02212$C06425
HMDB02226$C16527
HMDB02231$C16526
HMDB02250$
HMDB02259$
HMDB02261$
HMDB02271$C20522
HMDB02302$
HMDB02320$
HMDB02322$C01672
HMDB02329$C00209
HMDB02364$C17148
HMDB02368$C08323
HMDB02392$C16939
HMDB02815$
HMDB02820$C05828
HMDB02925$C03242
HMDB03070$C00493
HMDB03229$C08362
HMDB03269$C05380
HMDB03282$
HMDB03333$
HMDB03339$C00217
HMDB03349$C00337
HMDB03357$C00437
HMDB03431$C00860
HMDB03459$
HMDB03464$C01035
HMDB04030$
HMDB04072$C05627
HMDB04159$
HMDB04161$
HMDB04193$C05842
HMDB04326$
HMDB04400$C16366
HMDB04610$C12144
HMDB04620$
HMDB04704$C14828
HMDB04705$C14829
HMDB04824$
HMDB04827$C10172
HMDB04949$
HMDB04952$
HMDB04953$
HMDB04956$
HMDB05015$D00332
HMDB05032$C07778
HMDB05060$C16525
HMDB05065$
HMDB05066$
HMDB05356$
HMDB05357$
HMDB05359$
HMDB05360$
HMDB05362$
HMDB05363$
HMDB05365$
HMDB05367$
HMDB05369$
HMDB05370$
HMDB05376$
HMDB05377$
HMDB05380$
HMDB05384$
HMDB05385$
HMDB05391$
HMDB05395$
HMDB05396$
HMDB05398$
HMDB05403$
HMDB05404$
HMDB05405$
HMDB05410$
HMDB05432$
HMDB05433$
HMDB05435$
HMDB05436$
HMDB05456$
HMDB05462$
HMDB05476$
HMDB06023$
HMDB06029$
HMDB06219$C07058
HMDB06344$C04148
HMDB06460$
HMDB06469$
HMDB06725$
HMDB06726$
HMDB06729$
HMDB06731$
HMDB06733$
HMDB06736$
HMDB07011$
HMDB07098$
HMDB07099$
HMDB07100$
HMDB07102$C13861
HMDB07103$
HMDB07128$
HMDB07132$
HMDB07158$
HMDB07199$
HMDB07216$
HMDB07218$
HMDB07219$
HMDB07248$
HMDB07869$
HMDB07871$
HMDB07873$
HMDB07970$
HMDB07972$
HMDB07973$
HMDB07983$
HMDB07991$
HMDB08006$
HMDB08038$
HMDB08039$
HMDB08047$
HMDB08048$
HMDB08105$
HMDB08138$
HMDB08270$
HMDB08923$
HMDB08925$
HMDB10169$
HMDB10325$
HMDB10368$
HMDB10370$
HMDB10375$
HMDB10379$
HMDB10382$
HMDB10383$
HMDB10384$
HMDB10386$
HMDB10387$
HMDB10391$
HMDB10393$
HMDB10395$
HMDB10397$
HMDB10404$
HMDB10407$
HMDB10411$
HMDB10412$
HMDB10419$
HMDB10471$
HMDB10517$
HMDB11130$
HMDB11131$
HMDB11208$
HMDB11210$
HMDB11212$
HMDB11220$
HMDB11241$
HMDB11243$
HMDB11252$
HMDB11310$
HMDB11503$
HMDB11504$
HMDB11506$
HMDB11507$
HMDB11511$
HMDB11517$
HMDB11520$
HMDB11526$
HMDB11565$
HMDB11582$
HMDB11621$
HMDB11697$
HMDB11701$
HMDB11718$C00633
HMDB12097$
HMDB12101$
HMDB12102$
HMDB12103$
HMDB12104$
HMDB12107$
HMDB12252$
HMDB13122$
HMDB13133$
HMDB13222$C03065
HMDB13253$C05135
HMDB13287$
HMDB13288$
HMDB13325$
HMDB13326$
HMDB13331$
HMDB13337$
HMDB13339$
HMDB13622$
HMDB13716$
HMDB13733$
HMDB14420$
HMDB14611$
HMDB15028$
HMDB15052$
HMDB15070$
HMDB15371$
HMDB29377$
HMDB29416$
HMDB29723$
HMDB29757$
HMDB30180$
HMDB31106$
HMDB32055$
HMDB33585$
HMDB35665$
HMDB37942$
HMDB41876$
HMDB42063$
HMDB42093$
HMDB42104$
HMDB42226$
HMDB42466$
HMDB43058$
HMDB59655$
HMDB59824$
HMDB60038$
HMDB61710$
HMDB62548$
HMDB62781$
